,country,cm_name,year,price,wheat_p,gdp,pop,wheat_af,rice_p,rice_af,meat_p,meat_af,orange_p,orange_af
2980,Colombia,Wheat flour (local) - Wholesale,2020,1.48,6295.0,5334.55615234375,50930656.0,3.429097935991388e-05,,,,,,
2981,Colombia,Wheat flour (local) - Wholesale,2020,1.49,6295.0,5334.55615234375,50930656.0,3.4522675166399784e-05,,,,,,
2982,Colombia,Wheat flour (local) - Wholesale,2020,1.5,6295.0,5334.55615234375,50930656.0,3.475437097288569e-05,,,,,,
2983,Colombia,Wheat flour (local) - Wholesale,2020,1.51,6295.0,5334.55615234375,50930656.0,3.498606677937159e-05,,,,,,
2984,Colombia,Wheat flour (local) - Wholesale,2020,1.52,6295.0,5334.55615234375,50930656.0,3.52177625858575e-05,,,,,,
2985,Colombia,Wheat flour (local) - Wholesale,2020,1.53,6295.0,5334.55615234375,50930656.0,3.54494583923434e-05,,,,,,
2986,Colombia,Wheat flour (local) - Wholesale,2020,1.54,6295.0,5334.55615234375,50930656.0,3.568115419882931e-05,,,,,,
2987,Colombia,Wheat flour (local) - Wholesale,2020,1.55,6295.0,5334.55615234375,50930656.0,3.5912850005315216e-05,,,,,,
2988,Colombia,Wheat flour (local) - Wholesale,2020,1.56,6295.0,5334.55615234375,50930656.0,3.614454581180112e-05,,,,,,
2989,Colombia,Wheat flour (local) - Wholesale,2020,1.57,6295.0,5334.55615234375,50930656.0,3.637624161828702e-05,,,,,,
2990,Colombia,Wheat flour (local) - Wholesale,2020,1.58,6295.0,5334.55615234375,50930656.0,3.660793742477293e-05,,,,,,
2991,Colombia,Wheat flour (local) - Wholesale,2020,1.6,6295.0,5334.55615234375,50930656.0,3.707132903774474e-05,,,,,,
2992,Colombia,Wheat flour (local) - Wholesale,2020,1.61,6295.0,5334.55615234375,50930656.0,3.730302484423064e-05,,,,,,
2993,Colombia,Wheat flour (local) - Wholesale,2020,1.62,6295.0,5334.55615234375,50930656.0,3.753472065071655e-05,,,,,,
2994,Colombia,Wheat flour (local) - Wholesale,2020,1.63,6295.0,5334.55615234375,50930656.0,3.776641645720245e-05,,,,,,
2995,Colombia,Wheat flour (local) - Wholesale,2020,1.64,6295.0,5334.55615234375,50930656.0,3.799811226368835e-05,,,,,,
2996,Colombia,Wheat flour (local) - Wholesale,2020,1.65,6295.0,5334.55615234375,50930656.0,3.8229808070174253e-05,,,,,,
2997,Colombia,Wheat flour (local) - Wholesale,2020,1.66,6295.0,5334.55615234375,50930656.0,3.846150387666016e-05,,,,,,
2998,Colombia,Wheat flour (local) - Wholesale,2020,1.68,6295.0,5334.55615234375,50930656.0,3.892489548963197e-05,,,,,,
2999,Colombia,Wheat flour (local) - Wholesale,2020,1.69,6295.0,5334.55615234375,50930656.0,3.915659129611788e-05,,,,,,
3000,Colombia,Wheat flour (local) - Wholesale,2020,1.7,6295.0,5334.55615234375,50930656.0,3.938828710260378e-05,,,,,,
3001,Colombia,Wheat flour (local) - Wholesale,2020,1.71,6295.0,5334.55615234375,50930656.0,3.9619982909089685e-05,,,,,,
3002,Colombia,Wheat flour (local) - Wholesale,2020,1.73,6295.0,5334.55615234375,50930656.0,4.008337452206149e-05,,,,,,
3003,Colombia,Wheat flour (local) - Wholesale,2020,1.75,6295.0,5334.55615234375,50930656.0,4.054676613503331e-05,,,,,,
3004,Colombia,Wheat flour (local) - Wholesale,2020,1.77,6295.0,5334.55615234375,50930656.0,4.101015774800512e-05,,,,,,
3005,Colombia,Wheat flour (local) - Wholesale,2020,1.79,6295.0,5334.55615234375,50930656.0,4.1473549360976923e-05,,,,,,
3006,Colombia,Wheat flour (local) - Wholesale,2020,1.81,6295.0,5334.55615234375,50930656.0,4.193694097394873e-05,,,,,,
3007,Colombia,Wheat flour (local) - Wholesale,2020,1.94,6295.0,5334.55615234375,50930656.0,4.4948986458265486e-05,,,,,,
3008,Colombia,Wheat flour - Wholesale,2020,0.32,6295.0,5334.55615234375,50930656.0,7.414265807548947e-06,,,,,,
3009,Colombia,Wheat flour - Wholesale,2020,0.33,6295.0,5334.55615234375,50930656.0,7.645961614034852e-06,,,,,,
3010,Colombia,Wheat flour - Wholesale,2020,0.34,6295.0,5334.55615234375,50930656.0,7.877657420520757e-06,,,,,,
3011,Colombia,Wheat flour - Wholesale,2020,0.35,6295.0,5334.55615234375,50930656.0,8.10935322700666e-06,,,,,,
3012,Colombia,Wheat flour - Wholesale,2020,0.36,6295.0,5334.55615234375,50930656.0,8.341049033492565e-06,,,,,,
3013,Colombia,Wheat flour - Wholesale,2020,0.37,6295.0,5334.55615234375,50930656.0,8.57274483997847e-06,,,,,,
3014,Colombia,Wheat flour - Wholesale,2020,0.38,6295.0,5334.55615234375,50930656.0,8.804440646464374e-06,,,,,,
3015,Colombia,Wheat flour - Wholesale,2020,0.39,6295.0,5334.55615234375,50930656.0,9.03613645295028e-06,,,,,,
3016,Colombia,Wheat flour - Wholesale,2020,0.4,6295.0,5334.55615234375,50930656.0,9.267832259436185e-06,,,,,,
3017,Colombia,Wheat flour - Wholesale,2020,0.41,6295.0,5334.55615234375,50930656.0,9.499528065922087e-06,,,,,,
3018,Colombia,Wheat flour - Wholesale,2020,0.42,6295.0,5334.55615234375,50930656.0,9.731223872407993e-06,,,,,,
3019,Colombia,Wheat flour - Wholesale,2020,0.43,6295.0,5334.55615234375,50930656.0,9.962919678893896e-06,,,,,,
3020,Colombia,Wheat flour - Wholesale,2020,0.44,6295.0,5334.55615234375,50930656.0,1.0194615485379803e-05,,,,,,
3021,Colombia,Wheat flour - Wholesale,2020,0.45,6295.0,5334.55615234375,50930656.0,1.0426311291865706e-05,,,,,,
3022,Colombia,Wheat flour - Wholesale,2020,0.46,6295.0,5334.55615234375,50930656.0,1.0658007098351612e-05,,,,,,
3023,Colombia,Wheat flour - Wholesale,2020,0.47,6295.0,5334.55615234375,50930656.0,1.0889702904837515e-05,,,,,,
3024,Colombia,Wheat flour - Wholesale,2020,0.48,6295.0,5334.55615234375,50930656.0,1.112139871132342e-05,,,,,,
3025,Colombia,Wheat flour - Wholesale,2020,0.49,6295.0,5334.55615234375,50930656.0,1.1353094517809325e-05,,,,,,
3026,Colombia,Wheat flour - Wholesale,2020,0.5,6295.0,5334.55615234375,50930656.0,1.158479032429523e-05,,,,,,
3027,Colombia,Wheat flour - Wholesale,2020,0.51,6295.0,5334.55615234375,50930656.0,1.1816486130781133e-05,,,,,,
3028,Colombia,Wheat flour - Wholesale,2020,0.52,6295.0,5334.55615234375,50930656.0,1.2048181937267037e-05,,,,,,
3029,Colombia,Wheat flour - Wholesale,2020,0.53,6295.0,5334.55615234375,50930656.0,1.2279877743752946e-05,,,,,,
3030,Colombia,Wheat flour - Wholesale,2020,0.54,6295.0,5334.55615234375,50930656.0,1.2511573550238849e-05,,,,,,
3031,Colombia,Wheat flour - Wholesale,2020,0.59,6295.0,5334.55615234375,50930656.0,1.367005258266837e-05,,,,,,
3032,Colombia,Wheat flour - Wholesale,2020,0.6,6295.0,5334.55615234375,50930656.0,1.3901748389154274e-05,,,,,,
3033,Colombia,Wheat flour - Wholesale,2020,0.63,6295.0,5334.55615234375,50930656.0,1.459683580861199e-05,,,,,,
3034,Colombia,Wheat flour - Wholesale,2020,0.64,6295.0,5334.55615234375,50930656.0,1.4828531615097895e-05,,,,,,
3035,Colombia,Wheat flour - Wholesale,2020,0.65,6295.0,5334.55615234375,50930656.0,1.50602274215838e-05,,,,,,
3036,Colombia,Wheat flour - Wholesale,2020,0.66,6295.0,5334.55615234375,50930656.0,1.5291923228069704e-05,,,,,,
3037,Colombia,Wheat flour - Wholesale,2020,0.67,6295.0,5334.55615234375,50930656.0,1.5523619034555607e-05,,,,,,
3038,Colombia,Wheat flour - Wholesale,2020,0.68,6295.0,5334.55615234375,50930656.0,1.5755314841041514e-05,,,,,,
3039,Colombia,Wheat flour - Wholesale,2020,0.69,6295.0,5334.55615234375,50930656.0,1.5987010647527417e-05,,,,,,
3040,Colombia,Wheat flour - Wholesale,2020,0.7,6295.0,5334.55615234375,50930656.0,1.621870645401332e-05,,,,,,
3041,Colombia,Wheat flour - Wholesale,2000,0.12,37085.0,2520.481201171875,39215136.0,4.502382018256875e-05,,,,,,
3042,Colombia,Wheat flour - Wholesale,2000,0.13,37085.0,2520.481201171875,39215136.0,4.877580519778282e-05,,,,,,
3043,Colombia,Wheat flour - Wholesale,2000,0.14,37085.0,2520.481201171875,39215136.0,5.2527790212996885e-05,,,,,,
3044,Colombia,Wheat flour - Wholesale,2000,0.17,37085.0,2520.481201171875,39215136.0,6.378374525863907e-05,,,,,,
3045,Colombia,Wheat flour - Wholesale,2000,0.18,37085.0,2520.481201171875,39215136.0,6.753573027385313e-05,,,,,,
3046,Colombia,Wheat flour - Wholesale,2001,0.13,31793.0,2439.682373046875,39837876.0,4.252510537918049e-05,,,,,,
3047,Colombia,Wheat flour - Wholesale,2001,0.14,31793.0,2439.682373046875,39837876.0,4.579626733142515e-05,,,,,,
3048,Colombia,Wheat flour - Wholesale,2001,0.17,31793.0,2439.682373046875,39837876.0,5.56097531881591e-05,,,,,,
3049,Colombia,Wheat flour - Wholesale,2001,0.18,31793.0,2439.682373046875,39837876.0,5.8880915140403756e-05,,,,,,
3050,Colombia,Wheat flour - Wholesale,2001,0.19,31793.0,2439.682373046875,39837876.0,6.215207709264841e-05,,,,,,
3051,Colombia,Wheat flour - Wholesale,2002,0.13,40795.0,2396.627197265625,40454056.0,5.4700051473682665e-05,,,,,,
3052,Colombia,Wheat flour - Wholesale,2002,0.16,40795.0,2396.627197265625,40454056.0,6.732314027530174e-05,,,,,,
3053,Colombia,Wheat flour - Wholesale,2002,0.17,40795.0,2396.627197265625,40454056.0,7.15308365425081e-05,,,,,,
3054,Colombia,Wheat flour - Wholesale,2002,0.19,40795.0,2396.627197265625,40454056.0,7.994622907692083e-05,,,,,,
3055,Colombia,Wheat flour - Wholesale,2002,0.2,40795.0,2396.627197265625,40454056.0,8.415392534412719e-05,,,,,,
3056,Colombia,Wheat flour - Wholesale,2002,0.21,40795.0,2396.627197265625,40454056.0,8.836162161133354e-05,,,,,,
3057,Colombia,Wheat flour - Wholesale,2002,0.22,40795.0,2396.627197265625,40454056.0,9.25693178785399e-05,,,,,,
3058,Colombia,Wheat flour - Wholesale,2003,0.17,46571.0,2281.40185546875,41057688.0,8.452169625229819e-05,,,,,,
3059,Colombia,Wheat flour - Wholesale,2003,0.18,46571.0,2281.40185546875,41057688.0,8.949356073772747e-05,,,,,,
3060,Colombia,Wheat flour - Wholesale,2003,0.19,46571.0,2281.40185546875,41057688.0,9.446542522315679e-05,,,,,,
3061,Colombia,Wheat flour - Wholesale,2003,0.2,46571.0,2281.40185546875,41057688.0,9.943728970858609e-05,,,,,,
3062,Colombia,Wheat flour - Wholesale,2003,0.23,46571.0,2281.40185546875,41057688.0,0.00011435288316487402,,,,,,
3063,Colombia,Wheat flour - Wholesale,2003,0.24,46571.0,2281.40185546875,41057688.0,0.00011932474765030329,,,,,,
3064,Colombia,Wheat flour - Wholesale,2003,0.25,46571.0,2281.40185546875,41057688.0,0.00012429661213573262,,,,,,
3065,Colombia,Wheat flour - Wholesale,2003,0.26,46571.0,2281.40185546875,41057688.0,0.00012926847662116193,,,,,,
3066,Colombia,Wheat flour - Wholesale,2004,0.18,43471.0,2782.623291015625,41648272.0,6.751818089574981e-05,,,,,,
3067,Colombia,Wheat flour - Wholesale,2004,0.19,43471.0,2782.623291015625,41648272.0,7.126919094551368e-05,,,,,,
3068,Colombia,Wheat flour - Wholesale,2004,0.22,43471.0,2782.623291015625,41648272.0,8.252222109480533e-05,,,,,,
3069,Colombia,Wheat flour - Wholesale,2004,0.27,43471.0,2782.623291015625,41648272.0,0.00010127727134362473,,,,,,
3070,Colombia,Wheat flour - Wholesale,2004,0.28,43471.0,2782.623291015625,41648272.0,0.00010502828139338861,,,,,,
3071,Colombia,Wheat flour - Wholesale,2005,0.17,43963.0,3414.465087890625,42220944.0,5.1842462983388724e-05,,,,,,
3072,Colombia,Wheat flour - Wholesale,2005,0.18,43963.0,3414.465087890625,42220944.0,5.489201962947041e-05,,,,,,
3073,Colombia,Wheat flour - Wholesale,2005,0.21,43963.0,3414.465087890625,42220944.0,6.404068956771547e-05,,,,,,
3074,Colombia,Wheat flour - Wholesale,2005,0.22,43963.0,3414.465087890625,42220944.0,6.709024621379718e-05,,,,,,
3075,Colombia,Wheat flour - Wholesale,2005,0.23,43963.0,3414.465087890625,42220944.0,7.013980285987885e-05,,,,,,
3076,Colombia,Wheat flour - Wholesale,2005,0.27,43963.0,3414.465087890625,42220944.0,8.233802944420562e-05,,,,,,
3077,Colombia,Wheat flour - Wholesale,2005,0.28,43963.0,3414.465087890625,42220944.0,8.53875860902873e-05,,,,,,
3078,Colombia,Wheat flour - Wholesale,2006,0.17,26399.0,3741.0927734375,42772912.0,2.8045881904307994e-05,,,,,,
3079,Colombia,Wheat flour - Wholesale,2006,0.19,26399.0,3741.0927734375,42772912.0,3.1345397422461875e-05,,,,,,
3080,Colombia,Wheat flour - Wholesale,2006,0.2,26399.0,3741.0927734375,42772912.0,3.299515518153882e-05,,,,,,
3081,Colombia,Wheat flour - Wholesale,2006,0.21,26399.0,3741.0927734375,42772912.0,3.464491294061576e-05,,,,,,
3082,Colombia,Wheat flour - Wholesale,2006,0.22,26399.0,3741.0927734375,42772912.0,3.62946706996927e-05,,,,,,
3083,Colombia,Wheat flour - Wholesale,2006,0.23,26399.0,3741.0927734375,42772912.0,3.7944428458769645e-05,,,,,,
3084,Colombia,Wheat flour - Wholesale,2006,0.24,26399.0,3741.0927734375,42772912.0,3.959418621784658e-05,,,,,,
3085,Colombia,Wheat flour - Wholesale,2006,0.25,26399.0,3741.0927734375,42772912.0,4.124394397692352e-05,,,,,,
3086,Colombia,Wheat flour - Wholesale,2006,0.26,26399.0,3741.0927734375,42772912.0,4.289370173600047e-05,,,,,,
3087,Colombia,Wheat flour - Wholesale,2006,0.27,26399.0,3741.0927734375,42772912.0,4.454345949507741e-05,,,,,,
